"año","trimestre","bajas","hombres","mujeres","bajas_licenciatura","bl_hombres","bl_mujeres","bajas_posgrado","bp_hombres","bp_mujeres"
2022,1,1022,349,673,0,0,0,0,0,0
2022,2,1022,349,673,0,0,0,0,0,0
2022,3,1022,349,673,0,0,0,0,0,0
2022,4,1022,349,673,0,0,0,0,0,0
2023,1,1022,349,673,0,0,0,0,0,0
2023,2,1022,349,673,0,0,0,0,0,0
2023,3,1022,349,673,0,0,0,0,0,0
2023,4,1254,421,833,1229,416,813,25,5,20
2024,1,1254,421,833,1229,416,813,25,5,20
2024,2,1254,421,833,1229,416,813,25,5,20
2024,3,1254,421,833,1229,416,813,25,5,20
2024,4,1254,421,833,1229,416,813,25,5,20
2025,1,2606,910,1696,2581,905,1676,25,5,20
2025,2,2606,910,1696,2581,905,1676,25,5,20
2022,1,1022,349,673,0,0,0,0,0,0
2022,2,1022,349,673,0,0,0,0,0,0
2022,3,1022,349,673,0,0,0,0,0,0
2022,4,1022,349,673,0,0,0,0,0,0
2023,1,1022,349,673,0,0,0,0,0,0
2023,2,1022,349,673,0,0,0,0,0,0
2023,3,1022,349,673,0,0,0,0,0,0
2023,4,1254,421,833,1229,416,813,25,5,20
2024,1,1254,421,833,1229,416,813,25,5,20
2024,2,1254,421,833,1229,416,813,25,5,20
2024,3,1254,421,833,1229,416,813,25,5,20
2024,4,1254,421,833,1229,416,813,25,5,20
2025,1,2606,910,1696,2581,905,1676,25,5,20
2025,2,2606,910,1696,2581,905,1676,25,5,20
