"año","trimestre","m_licenciatura","ml_hombres","ml_mujeres","m_posgrados","mp_hombres","mp_mujeres"
2021,1,25429,9508,15921,631,179,182
2022,1,30964,11519,19445,361,179,182
2022,2,30804,11464,19340,361,179,182
2022,3,37007,13689,23318,631,303,328
2022,4,35985,13346,22645,631,303,328
2023,1,38305,14154,24151,591,279,312
2023,2,38305,13940,24365,768,325,443
2023,3,44280,16093,28187,1026,452,574
2023,4,43051,15677,27374,977,434,543
2024,1,45254,16595,28659,1050,447,603
2024,2,45254,16595,28659,1050,447,603
2024,3,54370,19980,34390,1368,590,778
2024,4,54370,19980,34390,1368,590,778
2025,1,56258,0,0,1183,0,0
2025,2,56258,20985,35273,1183,517,666
